measure_id,measure_name,short_description,type_of_strategy_or_measure,quantified_objective,indicative_budget_and_sources_of_financing,bodies_responsible_for_implementation,estimated_impact,state_of_implementation,date_of_entry_into_force,implementation_period
AT_062,Energy Agency Tyrol,"The Energy Agency Tyrol is the competence for water and energy. As an independent advice centre for the state of Tyrol, it is the competent contact person for all energy, water and resource issues – for private individuals, municipalities or companies.","Consultations: technical, economical, ecological","Support for households at risk of poverty; reduction of energy consumption with current energy costs through on-site consultations, telephone consultations; spatial energy planning and energy supply concepts; improved funding applications",,Energy Agency Tirol Bürgerstraße 1-3 6020 Innsbruck Telephone: 0512 250015 E-Mail: office@energieagentur.tirol Web: www.energieagentur.tirol,Implementation of energy efficiency measures; support for the implementation of climate-friendly regions; improved spatial energy planning and,constantly,,constantly
AT_063,Energy Globe STYRIA AWARD,"The State Energy Globe STYRIA AWARD is the renowned energy, environmental and climate award of Styria. The federal state of Styria, Energie Steiermark and Verkehrsverbund Steiermark jointly award the state prize and thus annually award the best and most innovative Styrian projects in the field of energy, environment and climate.",Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,"Five Styrian headings: • Research: Research projects with a high degree of innovation • Economy and innovation: Innovative measures to decarbonise the economy and industry • Initiatives and municipalities: local commitment to climate, energy and awareness raising • Youth and education: projects by and for young people as well as educational projects • Mobility: Environmentally and climate-friendly solutions for the mobility of the future. Link: https://www.technik.steiermark.at/cms/ziel/147125454/EN",,"A15 Energy, housing, technology",Model effect Styria,constantly,constantly,constantly
AT_064,Energy Master Plan (eMap),Carinthia is to become energy-independent and free of fossil and nuclear energy sources in the heating and electricity sector by 2025 and in the transport sector by 2035. Other objectives are to promote value creation and jobs in one's own country through the use of domestic resources such as sun and wood and to increase the quality of life.,Overarching Master Plan for Energy,"The aim of the eMap Carinthia is to increase the renovation rate of public buildings to 3 percent. If possible, ecological building and insulation materials should be used for the renovations.",from the current budget of the state of Carinthia,"Dept. 15 – Location, Spatial Planning and Energy",The eMap is a guideline for the numerous implementation measures in the energy sector.,constantly,Since 2014,A new energy strategy is currently being worked on (2025).
AT_065,Energy Poverty Coordination Centre,"The Energy Poverty Coordination Centre (KEA) was set up in 2023 as a one-stop shop and competence centre on energy poverty in Austria. kea is a brick-building institution that brings together a wide range of expertise and actors in the fields of energy, climate protection, housing and social issues through its activities. In doing so, it cooperates with various institutions such as social services and relief agencies, public administration at the federal, state and local levels, as well as energy companies and energy consultancies. The tasks, powers and budgetary resources of kea are regulated in the National Energy Efficiency Act.","Governance, legislative and economic (financing)",,€1 million per year from the Climate and Energy Fund,Climate and Energy Fund,Reduction of households affected by energy poverty in Austria through improved coordination of existing and development of additional measures.,constantly,16.07.2023,31.12.2030
AT_066,Energy autonomy 2050,"Full coverage of final energy demand on balance in the annual balance from domestic renewable energy sources. According to the Ti rol solar cadastre as of 2013, there are around 86 million m ² inclined roof areas in Tyrol with a minimum size of 5 m ². 95% of the usable roof areas for use by photovoltaic systems and 5% of the usable roof areas for solar thermal use are to be taken into account.",promotions in economic terms; awareness-raising activities;,Full coverage of final energy demand on balance in the annual balance from domestic renewable energy sources. Upgrading all existing buildings in the country with photovoltaic systems by 2030,,"Office of the Tyrolean State Government: Department of Building Construction; Department of Building and Spatial Planning, Department of Spatial Planning and Statistics Energieagen tur Tirol","Energy autonomy 2050-Full coverage of final energy demand; installations of photovoltaic systems in all state construction projects (new construction and renovation). • Photovoltaic expansion target by 2027: generation of 1,000 GWh/a by 2027 by PV systems on roofs and preferably on paved surfaces",constantly,2014,2014-2050
AT_067,Energy autonomy Vorarlberg,"The country's basic strategy in the field of energy and climate protection is energy autonomy+ (https://www.energieautonomie-vor-arlberg.at). In the Buildings sector, the building-specific dimensions are shown.",includes measures at all levels,The interim targets for 2030: . 50% share of renewable energy sources in final energy demand . 50% reduction in greenhouse gases compared to 2005 . 100% coverage of electricity consumption through renewable energies,from the country's current budget,"various internal departments plus external institutions on the basis of the Landtag, steering committee and programme management",see quantified objective,constantly,since 2009,Current phase for 2020 - 2030
AT_068,Energy certificate Congress,"Providing information to manufacturers of energy certificates, building authorities, developers and other stakeholders in connection with energy certificates. Congress of experts.",Training or further education,Approximately 300 participants per year,,Energy Consulting Salzburg / Office of the State Government of Salzburg Ref 4/04,,,,yearly
AT_069,Energy consulting Burgenland,"On the one hand, EBB GmbH is to provide Burgenland households, businesses and municipalities with subsidised free consultations and solutions in the areas of energy costs, energy efficiency, heat price caps and renewable energy communities. Tasks of EBB GmbH: g) Free energy advice to customers to promote environmental and climate protection; h) support for public authorities in charge of energy matters and support for municipalities in energy matters; i) Concept development and structured planning, as well as support for municipalities to achieve energy independence; j) planning, coordination and implementation of training and further training events for energy consumers, service providers, developers and public institutions; k) Creation of energy concepts, including the collection of concrete offers for (partial) energy solutions; l) support in the commercial implementation of products and services and the commercial identification, exploration and relocation of suitable areas for photovoltaic solutions as part of energy concepts; m) distribution of heat solutions; n) Support for the establishment and management of energy companies.",Awareness-raising through advice and assistance with implementation,"Within the framework of the goals of climate neutrality of the European Union and the Republic of Austria, the Province of Burgenland has made it a priority to implement ambitious goals and future-oriented targets in the context of climate protection and to develop and implement appropriate measures independently as a federal state. An important goal is to make Burgenland the first climate-friendly region in the world. Against this background, the Province of Burgenland has founded Energieberatung Burgenland GmbH (EBB GmbH) in order, in particular but not exclusively, to provide independent advice on sustainable energy management and to advance the energy transition in Burgenland.",,Energy consulting Burgenland GmbH,faster and more accurate measures to achieve the existing targets in accordance with the Climate Protection Act and Climate Strategy 2030,constantly,,constantly
AT_070,Energy consulting Salzburg,"Energy consulting for household customers, communities and institutions; free of charge, on site or by telephone and digital; consulting towards the nearly Zero Energy Building.","Consulting: technical, economical, ecological",,State of Salzburg and Salzburg AG,"State of Salzburg, Office of the State Government of Salzburg, Ref. 4/04",Implementation of measures,constantly,Since 2004,
AT_071,Energy consulting Styria,"The aim of energy consulting is to reduce energy consumption, save costs and increase the energy efficiency of buildings and processes. For this purpose, an energy consultant analyses the energy status, identifies weak points such as poor insulation or inefficient heating systems and develops concepts for renovations, the use of renewable energies or energy-saving measures. Another important aspect is the support in applying for funding. Link: https://www.technik.steiermark.at/cms/ziel/82233481/en/ 15 recognised counselling centres in Styria: https://www.wohnbau.steiermark.at/cms/ziel/182915821/EN/",,,"Department 15 Energy, Housing and Technology","A15 Energy, Housing, Technology - Department of Energy and Housing",Carrying out quality-assured energy consultations for the steiris population in order to achieve an energy-efficient and energy-free building stock.,constantly,constantly,constantly
AT_072,Energy consulting Styria,"The aim of energy consulting is to reduce energy consumption, save costs and increase the energy efficiency of buildings and processes. For this purpose, an energy consultant analyses the energy status, identifies weak points such as poor insulation or inefficient heating systems and develops concepts for renovations, the use of renewable energies or energy-saving measures. Another important aspect is the support in applying for funding. Link: https://www.technik.steiermark.at/cms/ziel/82233481/en/ 15 recognised counselling centres in Styria: Link: https://www.wohnbau.steiermark.at/cms/ziel/182915821/EN/",,,"Department 15 Energy, Housing and Technology","A15 Energy, Housing, Technology - Department of Energy and Housing",Carrying out quality-assured energy consultations for the steiris population in order to achieve an energy-efficient and energy-free building stock.,constantly,constantly,constantly
AT_073,Energy consulting Styria,"The aim of energy consulting is to reduce energy consumption, save costs and increase the energy efficiency of buildings and processes. For this purpose, an energy consultant analyses the energy status, identifies weak points such as poor insulation or inefficient heating systems and develops concepts for renovations, the use of renewable energies or energy-saving measures. Another important aspect is the support in applying for funding. Link: https://www.technik.steiermark.at/cms/ziel/82233481/en/ 15 recognised counselling centres in Styria: https://www.wohnbau.steiermark.at/cms/ziel/182915821/EN/",,,"Department 15 Energy, Housing and Technology","A15 Energy, Housing, Technology - Department of Energy and Housing",Carrying out quality-assured energy consultations for the steiris population in order to achieve an energy-efficient and energy-free building stock.,constantly,constantly,constantly
AT_074,Energy lunch,"he Energy Lunch has been organised by the State of Styria since 2003 as an information and networking event. The Energy Lunch is dedicated to the currently important questions and challenges of the energy transition. The focus is on the exchange of knowledge and the dissemination of innovative solutions. The Energy Lunch enables an open discussion between the experts and the audience. The Energy Lunch is aimed at all people working in the energy, climate and environmental sectors. Link: https://www.ea-stmk.at/eag/energy-lunch/",Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,"The ""Energy Lunch"" is an event of the State of Styria and the Energy Agency Styria, which deals with the challenges of the energy transition. The aim of the event is to promote the exchange of knowledge on innovative solutions and to enable an open discussion between experts and the public. The Energy Lunch is an information and networking event aimed at energy, climate and environmental professionals, which can be attended free of charge.",,"A15 Energy, housing, technology in cooperation with Energie Agen tur Steiermark GmbH",Exchange of knowledge on innovative solutions,constantly,2003,constantly
AT_075,"Energy poverty - Advising low-income households (DoublePlus) Initiative ""DoublePlus 2.0""","The ‘DoppelPlus’ initiative, which has been implemented in Tyrol since 2016, will be continued in the coming years (‘DoppelPlus 2.0’) and is to be anchored in the long term as a provincial programme. By reducing the energy consumption in private households of people at risk of or affected by energy poverty and the associated reduction of greenhouse gas emissions, the initiative not only focuses on climate protection, but also includes a strong social component.","Awareness-raising, awareness-raising measures, promotion of a conscious use of energy and resources",Reduction of energy consumption in households threatened or affected by Energiear courage; promotion of a conscious use of energy and resources and demonstration of concrete possibilities for action,Budget resources Office of the Tyrolean State Government (state budget),Energy Agency Tyrol,Awareness raising; energy savings; tracking the trajectories for the use of energy sources defined in the TIROL 2050 energy target scenario,constantly,2016,in implementation
AT_076,Energy promotion,"The Energy Department of the State of Salzburg promotes the construction, production, optimisation and renewal of biomass",economic,,,,,,,
AT_077,Energy promotion,"The Energy Department of the State of Salzburg promotes the connection to a climate-friendly or highly efficient local/distance heat the installation of high-quality biomass central heating the installation of a high-quality heat pump (water/water, brine/water, air/water, etc.) with a water-guided heating distribution with radiator, wall or underfloor heating and hot water generation for individual objects.",economic,,,,,,,
AT_078,Energy promotion,The Energy Department of the State of Salzburg promotes the construction of high-quality thermal solar systems and the expansion of the collector area.,economic,,,,"In 2040, space heating will be produced 100 percent from renewable energy sources or by district heating.",,,2040
AT_079,Energy promotion,The Energy Department of the State of Salzburg promotes the construction of high-quality grid-connected photovoltaic systems for private farmers holdings,economic,,,,Share of renewable electricity 100 %,,,2030
AT_080,Energy saving in the household: advice and equipment replacement,"The Climate and Energy Fund's Energy Savings in the Household Programme helps households in poverty in Austria to reduce their energy costs. After an initial consultation at Caritas, who will check the energy consumption and discuss concrete savings measures. If necessary, inefficient electrical appliances such as refrigerators, stoves or washing machines can be exchanged for energy-efficient models free of charge. The measure aims to reduce energy costs and, in the long term, to alleviate the financial burden of constant energy prices.",Economic (financing),"8,000 exchanged old appliances per year",€15 million per year from the Climate and Energy Fund,Climate and Energy Fund,Increasing energy efficiency in homes affected by energy poverty through energy-saving advice and replacement of old or broken household appliances.,constantly,23.02.2023,perpetual
AT_081,Energy target scenario Tyrol 2050,"According to the government's decision from 2014, Tyrol is to become energy-autonomous in a yearly manner. In view of the transition to renewable energy sources and the wide range of opportunities offered by the improvement of these technologies, heat pumps and district heating systems are expected to account for the largest share of energy sources. In particular, it is assumed that the heat pump is most commonly used in rural single-family homes, while district heating will play a greater role in multi-family homes.","Legislative, technical, economic and environmental strategies",The state of Tyrol pursues the goal of fully covering the country's energy needs in the annual balance through renewable energy sources by 2050 and making extensive use of domestic energy sources.,,Office of the Tyrolean State Government,Assumption that by 2050 the entire energy system will be switched to fossil-free energy sources,constantly,"May 2021 Decision of the Tyrolean Sustainability and Climate Strategy ""Living with a Future""","2021 to 2030 interim target, interim scenario from 2030 to 2040, period 2021 to 2050"
AT_082,Establishment of one-stop shops or similar mechanisms in accordance with Article 18,"Provision of technical, administrative and financial advice and support by the Energy Saving Association of the Land Upper Austria as a central point of contact","Advising, promoting, informing, networking, researching, training","The aim is to reduce energy costs through energy efficiency, renewable energies and innovation, to give impetus to the economy and to contribute to reducing the environmental impact.",from the current budget of the Land Upper Austria and other public bodies,land,"more energy efficiency and renewable energy, contribution to energy and climate targets",constantly,1991,constantly
AT_083,"Establishment of one-stop shops or similar mechanisms in accordance with Article 18 for the provision of technical, administrative and financial advice and assistance","The legal implementation is in progress and is expected to take place during construction. In fact, consultations are already being carried out today by the Energy Institute (financial support through and cooperation with the Department of Housing Development) and the Department of Housing Development (both housing construction and housing aid).",,in accordance with the requirements of Directive (EU) 2024/1275,,,,,,
AT_084,Exemplary projects: Climate resilient transformation in regions 2024,"The aim of the programme ""Exemplary Projects: Climate-Resilient Transformation in Regions"" is to implement climate change mitigation and adaptation projects at regional level in Austria. The development of multipliable exemplary projects is intended to incentivise follow-up by third parties. The Dissemination of the project results is ensured by the Climate and Energy Fund and the existing, broad network of Climate and Energy Model Regions (KEM) and Kli mawandel Adaptation Model Regions (KLAR!), as well as their mandatory participation. Among other things, the call addresses the focus on energy and mobility poverty. The following energy poverty projects will be implemented: ""Energy heroes in their first home""; ""EnergyStarter-Future Energy Efficiency: Making women fit for climate resilience and preventing energy poverty""",Economic (financing),,"€1.5 million from the Climate and Energy Fund of which per application: > Small projects: max. 36,000 euros (1 year) > Medium-sized projects: max. 66,000 euros (1.5 years) > Large projects: max. 99.000 Euro (2 years)",Climate and Energy Fund,Exploiting synergies between climate change mitigation/adaptation and alleviation of energy and/or mobility poverty,constantly,29.11.2024,Q4 2027
AT_085,Exhibition Building and Living,Information for end customers and professionals,Training or further education,,,Energy Consulting Salzburg / Office of the State Government of Salzburg Ref 4/04,,,,yearly
AT_086,Expanding energy consulting,"The Lower Austrian energy consulting and renovation support by trained energy consultants will be further expanded and adapted and expanded to the prevailing climate and energy situations, taking into account energy poverty in affected households. In addition to the classic, technical aspects, advice on funding plays an important role.",Supported advice,"Increased decarbonisation of the housing stock and transformation towards low- and zero-emission buildings, with a particular focus on energy-poor households and worst-performing buildings.",,Lower Austria Energy and Environment Agency,"Reduction of greenhouse gas emissions, increase of refurbishment rates in the residential building stock.",constantly,constantly,constantly
AT_087,Expansion of renewable electricity infrastructure,"Promotion of photovoltaic and storage systems for private individuals, businesses, farmers and other legal entities. Advice on the implementation of renewable energy projects for private and commercial use, (designation of suitable areas for wind power and PV open spaces Expansion of grid infrastructure Demo projects Sector coupling (Power to X)",Legislative and economic,Expansion of photovoltaics by 500 GWh (expansion of hydropower by 220 GWh expansion of wind power by 250 GWh) Expansion of photovoltaics by 500 GWh Expansion of cogeneration by 80 GWh),,,"Reduction of energy imports by €40 million/a, share of renewable electricity 100%, triggered investments €100 million/a",,,by 2030
AT_088,Funding under the Renovation and New Construction Ordinance,"Within the framework of this support, on the occasion of the construction of the construction project with special ecological, sustainable, resource- conserving, recyclable and climate-friendly quality criteria for the actual construction costs incurred, a non-interest-bearing subsidy loan from the Land may be granted in accordance with the conditions laid down in Section 4(1) and (3), a maximum of EUR 150 per square metre of usable space in total. This also includes the construction of structural constructions such as skeleton construction, suspended facades and resource-saving constructions.",Financial support measures,,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Increase of practically implemented projects,constantly,2024,constantly
AT_089,Funding within the framework of THEWOSAN funding,"As part of comprehensive renovations, photovoltaic modules can also be recommended for funding by the Renovation and Decarbonisation Ordinance 2024, provided that the electricity is made available to the residents of the building.",Financial support measures,800 MWp by 2030,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Increasing the share of renewables,constantly,,constantly
AT_090,Greater comprehensive remediation beyond the necessary conservation,"In the course of the renovation of residential buildings and dormitories of non-profit building associations and municipalities, a promotional loan in the course of an extended form (= also indoor and outdoor areas of the building, not only its shell affected) of a comprehensive renovation will also support the construction of infrastructure facilities for alternative forms of mobility.",Financial support measures,,"As part of the refurbishment support, an average of around EUR 50 million is currently budgeted for all supported measures; depending on the total annual budget available for housing development support","Department 11 - Social, housing & labour market",Retrofitting a modern and sustainable mobility infrastructure in social housing in order to stimulate the housing stock to more attractive and climate-friendly mobility.,constantly,01.01.2025,current funding programme from 01.01.2025 to 31.12.2025
AT_091,Grätzlmarie,"For ideas on how you as a resident can design your Grätzl climate or future fit, WieNeu+ has its own idea budget, the Grätzlmarie. https://wieneuplus.wien.gv.at/graetzlmarie",financial support,,from the current budget of the City of Vienna,"Business Group for Housing, Housing, Urban Renewal and Women",Thermal-energetic refurbishment and other technical/social innovations.,constantly,since 2021,by 2031
AT_092,"Heating cost subsidy and support for heating exchange, Woh nsupport, promotion of clean heating for all, special promotion refurbishment for all","The heating subsidy as well as the housing support Styria strengthens and supports vulnerable households in Styria. Link: https://www.soziales.steiermark.at The ‘Clean Heating for All’ funding will help households in single/two-family houses or townhouses to switch from fossil and electricity-powered heating systems to climate-friendly heating systems. Link: https://www.wohnbau.steiermark.at The special funding ""Rehabilitation for All"" supports the renovation of single-family and two-family houses as well as terraced houses for low- income households with the help of federal and state funds. The thermal refurbishment of buildings helps to sustainably reduce the energy consumption of buildings, to save costs when dealing with buildings and to increase the comfort in your own four walls. At the same time, the preservation and sanitation of the buildings conserves material resources, prevents new land claims and strengthens the added value in the Styrian regions. The renovation of buildings takes into account the strategists of the state of Styria in the area of climate and energy and makes a significant contribution to climate protection. Support may be granted only if the criteria laid down in this Directive are met and on the basis of the budgetary resources available. Link: https://www.wohnbau.steiermark.at",Legal implementation - Environmental Promotion Act - UFG Link: https://www.ris.bka.gv.at,"• Heating cost subsidy and support for heating exchange • The housing support is intended to help make access to housing possible for all people in Styria. • The ‘Clean Heating for All’ funding supports low-income households in single/two-family houses or row houses in the transition from fossil and electricity-powered heating systems to climate-friendly heating systems. • The objective of this funding directive is to increase the thermal renovation rate of single-family and two-family houses as well as terraced houses, provided that these buildings are older than 15 years and are owned by low-income households as their main residence.","Department 15 Energy, Housing and Technology Department 11 Social Affairs, Labour and Integration Federal Ministry of Renovation for All","Department 11 Social Affairs, Labour and Integration (heating subsidy, housing support) A15 Energy, Housing, Technology - Department of Energy and Housing",Strengthening and supporting vulnerable households,constantly,constantly,constantly
AT_093,Heating cost subsidy and support for heating exchange,"For low-income households, Energiebera tung NÖ offers special advice on increasing efficiency and promoting it. The Lower Austrian state government has decided to grant a one-off heating cost subsidy in the amount of € 150,- for the heating period 2025/26 for Lower Austrians in need of social assistance. Low-income households in single-family or two-family houses and townhouses can receive up to 100% of the eligible switching costs in order to switch their heating system from fossil (non-renewable) energy sources (e.g. oil and gas). This allows these households to use renewable heating systems such as wood pellets, heat pumps or biogenic district heating. Basic basic competences on “Strengthening and protecting vulnerable customers and reducing energy poverty” are seen as federal competence. For this purpose, a coordination centre for combating energy poverty (kea) was set up at the federal level.",,,,,,,,
AT_094,Home refurbishment and residential refurbishment,"In the interest of climate protection and climate change adaptation, decarbonisation is to be pursued further. The funding and the associated housing promotion measures are intended to facilitate or make affordable the implementation of refurbishment measures. Details on the currently valid subsidies can be found at: Housing Development Home Renovation - Province of Lower Austria Housing Development Home Renovation - Province of Lower Austria",Mandatory energy advice on ‘Clean heating for all’,,,,,Ongoing (see homepage),,
AT_095,Homecoming,"The HAUSKUNFT one-stop shop is the result of the EU-funded RenoBooster project, which aims to facilitate access to information on the refurbishment of residential buildings and thus boost the rate of refurbishment in Vienna as quickly as possible. HAUSKUNFT offers free and independent service for all owners, property managers and planners in Vienna. https://www.hauskunft-wien.at/",technical and promotion law advice,"The thermal-energy renovation is to be further increased, with a focus on the decarbonisation of buildings.",Budget of the City of Vienna,"Business Group for Housing, Housing, Urban Renewal and Women","By pointing out sensible renovation measures in the building sector, investments are to be stimulated, which subsequently have a positive impact on energy efficiency.",constantly,2020,unlimited
AT_096,Homecoming and Residential Fund Vienna,"The _wien residential fund, the Hauskunft and the Climate and Innovation Agency of the City of Vienna regularly hold further training events on the topics of thermal refurbishment and renovation.",Continuing education,Improving the quality of refurbishment and heating changeover,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Increasing the quality and competence of planners and contractors.,constantly,,constantly
AT_097,Housing allowance,The housing allowance is a subsidy of the Land for tenants of rental properties with an unreasonable burden from the housing expenditure.,Financial support measures,"The support is intended to enable the socially and income-poor to meet their housing needs. The aim is to ensure quality and affordable housing taking into account spatial planning, climate-relevant and ecological aspects as well as social, economic and ecological sustainability.",From the current budget of the Federal Government and the Province of Burgenland,"Division 9 - EU, Society and Promotion",Financial support for private households. A contribution to enable leistba res living.,Ongoing funding programme,,constantly
AT_098,Housing allowance NEW,"The Viennese housing allowance is a classic subject support and strengthens households that suffer particularly from current inflation. It helps people who, despite work and income, can no longer cope with their housing costs. Prerequisite for this is a positive decision for the receipt of the housing allowance New or the rental allowance. https://www.wien.gv.at/amtswege/housing aid application",Financial support (subject support),Support in financial emergencies,Around EUR 40 million per year. Subsumed in the budget for the Vienna Housing Promotion and Renovation Act (WWFSG),"Business Group for Housing, Housing, Urban Renewal and Women",Reduction of financial emergencies,constantly,,unlimited
AT_099,Housing allowance and rent caps as measures for vulnerable households,The Viennese housing allowance is a housing support benefit for all Viennese people who have an income in the amount of the guideline rate as a rule above the guideline rate within the meaning of the Viennese minimum income law and whose housing expenses are unreasonable. This means that housing costs are too high in relation to income.,economic,,from the current budget of the City of Vienna,"Business Group for Housing, Housing, Urban Renewal and Women",Cost reduction in financial hardship cases,constantly,,constantly
AT_100,"Housing promotion, housing construction, home renovation","In the interest of climate protection and climate change adaptation, decarbonisation is to be pursued further. The funding and the associated housing support measures are intended to facilitate or make affordable the implementation of refurbishment measures. Within the framework of housing promotion, there are support measures for the increased use of renewable energies in residential construction. These measures also contribute to the achievement of targets in the building sector. Details on the currently valid subsidies can be found at: Housing Development Home Renovation - Province of Lower Austria Housing Development Home Renovation - Province of Lower Austria",Mandatory energy advice on ‘Clean heating for all’,,,,,Ongoing (see homepage),,
AT_101,Housing promotion,"Both in the area of new building promotion and renovation, the Carinthian housing promotion is incentivized to reduce life cycle greenhouse gas emissions as much as possible. In new construction (small and large construction) there are subsidy bonuses (compliance with certain ecoin dex values) and increases for the subsidy (linked to the OI3 index). In the area of refurbishment, the conveyor rates are increased when renewable insulation materials are used.",Financial support measures,,Incremental amounts and bonuses will be added in the course of the normal new construction or refurbishment. Restructuring support paid out; there is no specific budgetary framework for these measures,"Department 11 - Social, housing & labour market",There should be a reduction in CO2 emissions in residential construction.,constantly,since 01.01.2028 with continuous development,current funding programme from 01.01.2025 to 31.12.2025
AT_102,Housing promotion - Renovation of residential buildings,"The renovation of residential buildings in the residential and multi-storey housing sector is supported by housing development loans from the state of Bur genland. The conditions here are currently: interest rate 0.9% p.a. fixed on 30 years, loan repayment in 60 equal half-yearly installments; The subsidy loan is granted in a graduated amount depending on the scope of the subsidy measures (individual component renovation, energetic renovation (delta promotion), comprehensive renovation). For energy refurbishment measures on the building envelope and heat distribution system as an accompanying measure for the exchange of heating to an innovative alternative heating system (district heating, biomass, WP), a loan with a 100% subsidy rate and a loan of up to € 100,000 can be granted. Details on the funding opportunities are available at Link: https://www.burgenland.at/themen/bauen-/-wohnen- neu/renovation/https://www.burgenland.at/themen/bauen-/-wohnen- neu/sonderwohn- baufoerderungs-Aktion-2025/",Financial support measures,"In the interest of climate protection and climate change adaptation, decabonisation is to be further promoted. The funding is intended to facilitate or make affordable the implementation of renovation measures and to enable resource-saving and energy-saving living. The energy savings achieved should contribute to a reduction in housing costs.",From the current budget of the Federal Government and the Province of Burgenland,"Division 9 - EU, Society and Promotion","substantially reducing fossil fuels, reducing energy consumption in residential buildings, reducing housing costs through energy savings",constantly,,constantly
AT_103,Housing promotion - Renovation of residential buildings,"Several different funding channels (= funding guidelines on ba sis of the K-WBFG) support private, non-profit developers and municipalities in the renovation of residential buildings; concrete support is provided for the insulation of the external walls +window replacement, the insulation of the top and/or bottom floors, the installation of energy-efficient ecological building technology (e.g. heating exchange for non-fossil energy sources), various measures to make existing buildings barrier-free; the aforementioned funding measures are supported both individually and bundled in a ""comprehensive renovation"" (= increased funding rates); for this purpose, both non-repayable one-off grants or grants for 10 years, as well as funding loans are awarded",Financial support measures,"In the interest of climate protection and climate change adaptation, decarbonisation is to be pursued further. The funding is intended to facilitate or make affordable the implementation of renovation measures and to enable resource-saving and energy-saving living. The energy savings achieved should contribute to a reduction in housing costs.","As part of the refurbishment support, an average of around EUR 50 million is currently budgeted for all supported measures; depending on the total annual budget available for housing development support","Department 11 - Social, housing & labour market","substantially reducing fossil fuels, reducing energy consumption in residential buildings, reducing housing costs through energy savings",constantly,01.01.2018,currently 01.01.2025 to 31.12.2025
AT_104,Housing promotion - Renovation of residential buildings,"The state of Styria has been promoting the refurbishment/renovation of existing residential buildings through various subsidies for many years, such as comprehensive refurbishment, comprehensive energy-efficient refurbishment, small refurbishment, renovation, revitalisation of historically important architectural monuments, barrier-free and old right-hand housing, etc. Link: https://www.wohnbau.steiermark.at/",,"In addition to affordable housing, important goals of the renovation subsidies are climate protection and the creation and maintenance of jobs in the construction and ancillary construction industries; the package of measures ranges from the improvement of the thermal quality of the building envelope to the conversion of existing heating and hot water systems to alternative forms of energy and the barrier-free design of existing apartments. By promoting the comprehensive refurbishment and rehabilitation, attractive and affordable apartments are created in the Styrian villages.",,"A15 Energy, Housing, Technology - Department of Energy and Housing",• Affordable housing • Reduction of final energy consumption • Improving energy efficiency • Expansion of renewable energy systems • Energy security • Improvement of building ecology,constantly,constantly,constantly
AT_105,Housing promotion - Renovation of residential buildings,"There are 2 production rails – ‘out of fossil fuels’ and classic refurbishment (private/non-profit etc.) - ‘Out of fossil fuels’ is a temporary incentive scheme with the aim of facilitating the heating transition from fossil fuels to renewable energy sources in the single-family and two-family house sector or to largely reduce the use of renewable energy sources fossil fuels and significantly reduce energy consumption in the building sector; investments in energy- efficient heating systems based on renewable energy sources are supported by a non-repayable one-off subsidy; - In the case of classic renovation funding, either a one-off grant or an annual grant for a period of 10 years will support the installation of energy-efficient, ecological building services for homes with a maximum of two apartments as well as multi-storey residential buildings (i.e.: heating exchange and conversion, thermal solar system, controlled residential ventilation with heat recovery).",Financial support measures,This with the primary goal in the interest of climate protection and climate change adaptation to further advance decarbonization or to enable resource-saving and energy-saving living.,"As part of the refurbishment support, an average of around EUR 50 million is currently budgeted for all supported measures; depending on the total annual budget, the housing support is available.","Department 11 - Social, housing & labour market","substantially reducing fossil fuels, reducing energy consumption in residential buildings, reducing housing costs through energy savings",constantly,First parts introduced with the entry into force of the Housing Promotion Act 2017 on 01.01.2018,current funding programme from 01.01.2025 to 31.12.2025
AT_106,Housing promotion - Renovation of residential buildings,"Support is provided, among other things, for the construction and expansion of thermal solar systems for the production of hot water and/or heat; this with the primary aim of further advancing decarbonisation in the interest of climate protection and climate change adaptation or enabling a resource-saving and energy-saving environment; the support is provided in the form of one-off grants or 10-year grants or a loan; funding guidelines 6 and 7",Financial support measures,,"As part of the refurbishment support, an average of around EUR 50 million is currently budgeted for all supported measures; depending on the total annual budget available for housing development support","Department 11 - Social, housing & labour market","substantially reducing fossil fuels, reducing energy consumption in residential buildings, reducing housing costs through energy savings",constantly,First parts introduced with the entry into force of the Housing Promotion Act 2017 on 01.01.2018,current funding programme from 01.01.2025 to 31.12.2025
